NOMPSN;PREPSN;DATNAIPSN;SEXPSN;CODPRO;EFFECTIF_LEGAL;CODDPT;CODCOM;CODSEQSECTELE;CODE_NUANCE_DE_LISTE;CODE_PERSONNALITE;TOUR_ELECTION
ARIIHOHOA;Lucien;1988-01-22;M;21;;987;98754;98754SN02;LREG;;élu T2
NOHO;Ruta;1994-04-29;F;85;;987;98754;98754SN02;LREG;;élu T2
HOLMAN;Clément;1975-10-18;M;11;;987;98754;98754SN02;LREG;;élu T2
HIRO;Jean-Noël;1971-12-18;M;64;;987;98754;98754SN02;LDVD;;élu T2
GOLTZ;Gérard;1948-04-15;M;31;;987;98754;98754SN03;LREG;;élu T2
MIHURAA;Naumi;1988-07-05;F;23;;987;98754;98754SN03;LREG;;élu T2
DEHORS;Raimana;1980-06-09;M;77;;987;98754;98754SN03;LREG;;élu T2
TAEAE;Irène Tauhiti;1987-12-17;F;47;;987;98754;98754SN03;LREG;;élu T2
HOLMAN;Gérard;1963-10-08;M;77;;987;98754;98754SN03;LREG;;élu T2
TEURA;Herenui;1987-01-04;F;45;;987;98754;98754SN03;LREG;;élu T2
TEHUIOTOA;Toran;1989-09-07;M;63;;987;98754;98754SN03;LREG;;élu T2
TEANINIURAITEMOANA;Lovaina;1972-08-01;F;42;;987;98754;98754SN03;LREG;;élu T2
ATIU;Gaëtan;1962-05-27;M;11;;987;98754;98754SN03;LREG;;élu T2
TEREI;Mireille Maire;1961-06-03;F;74;;987;98754;98754SN03;LREG;;élu T2
TAHITI;Joselito;1968-11-03;M;52;;987;98754;98754SN03;LREG;;élu T2
MAHUTA;Dayer Tehapai;1984-03-20;F;85;;987;98754;98754SN03;LREG;;élu T2
COLOMES;Moemoea;1986-05-20;F;86;;987;98754;98754SN03;LDVD;;élu T2
PEU;Raiano;1994-01-07;M;52;;987;98754;98754SN03;LDVD;;élu T2
PEETAU;Revatua;1985-08-02;F;11;;987;98754;98754SN03;LDVD;;élu T2
TAHIMANARII;Moeraitemarii;1987-03-20;M;86;;987;98754;98754SN03;LDVD;;élu T2
TAURAA;Côme;1957-05-11;M;77;;987;98754;98754SN04;LREG;;élu T2
TERAIUTIUTI;Heinano;1986-08-03;F;85;;987;98754;98754SN04;LREG;;élu T2
MAPUNA;Clément Raimana;1976-02-18;M;48;;987;98754;98754SN04;LREG;;élu T2
TIHOPU;Jessica;1987-06-09;F;85;;987;98754;98754SN04;LREG;;élu T2
TCHONG TAI;Ioera;1978-09-21;M;47;;987;98754;98754SN04;LDVD;;élu T2
